Mes,Capital,Interés,Cargo,Impuesto
2025-10-01,1346765.6099999999,1084710.75,92975.19,247314.06
2025-11-01,12297712.82,3079357.07,219716.91999999998,692805.53
2025-12-01,23818935.39,12651786.77,483370.18,2745260.1799999997
2026-01-01,25535967.299999997,13609915.799999999,418550.25,2945977.87
2026-02-01,26844905.29,13814332.0,486718.29,3003220.54
2026-03-01,28032086.35,13879975.51,535051.62,3027155.67
2026-04-01,39368187.74,19254318.47,646662.27,4179206.0
2026-05-01,64015688.2,13460084.040000001,736323.76,2981245.69
2026-06-01,90612038.64,14616392.54,749166.73,3226767.44
2026-07-01,89527963.32,17732043.99,891320.64,3910906.6
2026-08-01,94068737.00999999,16153110.5,1042221.56,3611019.8
2026-09-01,77300334.98,12785127.99,1093721.56,2914558.48
