Fecha,Linea de crédito,Estado,Monto
2026-08-27,Crédito personal,Acreditado,5000000.0
2026-08-18,Crédito personal,Rechazado,3000000.0
2026-08-17,,Rechazado,1000000.0
2026-08-13,Descuento de cheques,Acreditado,6422500.0
2026-08-12,Descuento de cheques,Acreditado,7320000.0
2026-08-12,,Rechazado,732000.0
2026-08-11,Descuento de cheques,Acreditado,6387500.0
2026-08-10,,Rechazado,3500000.0
2026-08-10,Crédito personal,Acreditado,3000000.0
2026-08-10,Crédito personal,Acreditado,8000000.0
2026-08-10,Descuento de cheques,Acreditado,20000000.0
2026-08-07,Crédito personal,Rechazado,2597173.36
2026-08-06,Descuento de cheques,Acreditado,20000000.0
2026-08-06,Descuento de cheques,Pagado,10000000.0
2026-08-06,Descuento de cheques,Pagado,14530115.0
2026-08-06,Descuento de cheques,Pagado,18480000.0
2026-08-06,Crédito personal,Acreditado,800000.0
2026-08-03,Crédito personal,Rechazado,2000000.0
2026-07-30,Crédito con garantía prendaria,Acreditado,9000000.0
2026-07-27,Crédito personal,Borrador,70000000.0
2026-07-22,Crédito personal,Acreditado,11000000.0
2026-07-16,,Rechazado,1000000.0
2026-07-15,Crédito personal,Acreditado,2000000.0
2026-07-15,,Rechazado,
2026-07-13,Crédito personal,Acreditado,1000000.0
2026-07-13,Crédito personal,Acreditado,10000000.0
2026-07-13,Crédito personal,Acreditado,4112431.47
2026-07-06,Crédito personal,Rechazado,2044685.36
2026-07-06,Crédito personal,Acreditado,3500000.0
2026-07-06,Crédito personal,Rechazado,2044685.36
2026-06-24,Credito Empleado Liess,Acreditado,400000.0
2026-06-16,Crédito personal,Acreditado,2336613.87
2026-06-16,Crédito personal,Acreditado,3314482.88
2026-06-12,Crédito personal,Acreditado,10000000.0
2026-06-11,Crédito personal,Acreditado,5500000.0
2026-06-11,,Rechazado,5500000.0
2026-06-04,Descuento de cheques,Pagado,19100000.0
2026-06-04,Descuento de cheques,Pagado,19550000.0
2026-06-03,Crédito personal,Acreditado,2500000.0
2026-06-03,,Rechazado,2000000.0
2026-05-29,Crédito personal,Acreditado,2000000.0
2026-05-28,Descuento de cheques,Pagado,19380000.0
2026-05-28,,Rechazado,10000000.0
2026-05-26,Descuento de cheques,Pagado,18000000.0
2026-05-26,Descuento de cheques,Rechazado,12000000.0
2026-05-26,Descuento de cheques,Rechazado,21000000.0
2026-05-22,Descuento de cheques,Rechazado,21000000.0
2026-05-20,Crédito personal,Rechazado,1000245.91
2026-05-13,Descuento de cheques,Pagado,7280000.0
2026-05-13,Crédito personal,Rechazado,3766593.27
2026-05-13,Crédito personal,Rechazado,3766593.27
2026-05-13,Crédito personal,Acreditado,3700000.0
2026-05-12,,Rechazado,37000000.0
2026-05-07,Crédito personal,Acreditado,500000.0
2026-05-06,Crédito personal,Acreditado,3000000.0
2026-04-30,Descuento de cheques,Pagado,10122706.0
2026-04-30,Descuento de cheques,Pagado,7300125.0
2026-04-30,Descuento de cheques,Pagado,13390478.39
2026-04-30,Descuento de cheques,Pagado,7164937.5
2026-04-21,Crédito personal,Acreditado,7000000.0
2026-04-21,Crédito personal,Rechazado,6000000.0
2026-04-20,,Rechazado,6000000.0
2026-04-20,Crédito personal,Rechazado,10000000.0
2026-04-10,Descuento de cheques,Pagado,13950000.0
2026-04-10,Descuento de cheques,Rechazado,13950000.0
2026-04-09,Crédito personal,Acreditado,2000000.0
2026-04-09,,Rechazado,2000000.0
2026-04-09,Crédito personal,Acreditado,2765631.0
2026-04-09,,Rechazado,2000000.0
2026-04-09,Crédito personal,Acreditado,8000000.0
2026-04-09,Crédito personal,Rechazado,11000000.0
2026-04-09,Crédito personal,Acreditado,1500000.0
2026-04-08,Crédito con garantía prendaria,Rechazado,9000000.0
2026-04-06,Descuento de cheques,Pagado,15500000.0
2026-04-06,Descuento de cheques,Rechazado,17000000.0
2026-04-06,Descuento de cheques,Pagado,17000000.0
2026-04-06,,Rechazado,20000.0
2026-04-06,,Rechazado,17000000.0
2026-04-06,Crédito personal,Acreditado,3000000.0
2026-04-01,Crédito personal,Rechazado,2000000.0
2026-03-31,Crédito personal,Acreditado,2500000.0
2026-03-31,,Rechazado,2500000.0
2026-03-25,Crédito personal,Acreditado,2800000.0
2026-03-23,Crédito con garantía prendaria,Rechazado,9500000.0
2026-03-23,,Rechazado,9500000.0
2026-03-17,,Rechazado,
2026-03-17,Crédito personal,Acreditado,2500000.0
2026-03-17,,Rechazado,30000.0
2026-03-17,,Rechazado,40000.0
2026-03-17,,Rechazado,300000.0
2026-03-17,,Rechazado,400000.0
2026-03-17,,Rechazado,500000.0
2026-03-17,Crédito personal,Acreditado,500000.0
2026-03-17,,Rechazado,500000.0
2026-03-16,Credito Empleado Liess,Pagado,300000.0
2026-03-13,Crédito personal,Acreditado,2000000.0
2026-03-09,,Rechazado,
2026-03-09,,Rechazado,4300000.0
2026-03-06,Crédito personal,Acreditado,2000000.0
2026-03-05,Crédito personal,Acreditado,3000000.0
2026-03-05,Crédito personal,Acreditado,1800000.0
2026-03-04,,Rechazado,3000000.0
2026-03-03,Crédito personal,Rechazado,3000000.0
2026-03-02,Crédito personal,Acreditado,3500000.0
2026-03-02,Crédito con garantía prendaria,Acreditado,11000000.0
2026-03-02,,Rechazado,2500000.0
2026-02-23,,Rechazado,1000000.0
2026-02-23,Crédito personal,Acreditado,3000000.0
2026-02-17,,Rechazado,1000000.0
2026-02-13,,Rechazado,
2026-02-11,Crédito con garantía prendaria,Rechazado,3000000.0
2026-02-11,Crédito personal,Rechazado,1000000.0
2026-02-09,Crédito personal,Rechazado,3000000.0
2026-02-09,Crédito personal,Rechazado,600000.0
2026-02-04,Crédito personal,Acreditado,10000000.0
2026-02-02,Crédito con garantía prendaria,Rechazado,24203000.0
2026-01-28,Crédito personal,Rechazado,600000.0
2026-01-21,Crédito personal,Acreditado,3000000.0
2026-01-16,Crédito personal,Rechazado,4000000.0
2026-01-16,Crédito personal,Acreditado,4000000.0
2026-01-16,,Rechazado,3000000.0
2026-01-16,,Rechazado,3000000.0
2026-01-16,Crédito personal,Acreditado,2500000.0
2026-01-16,,Rechazado,3000000.0
2026-01-16,,Rechazado,3000000.0
2026-01-15,Crédito personal,Rechazado,1000000.0
2026-01-13,Credito Empleado Liess,Rechazado,500000.0
2026-01-12,Crédito personal,Pagado,800000.0
2026-01-09,Crédito personal,Pagado,1000000.0
2026-01-09,,Rechazado,
2026-01-09,,Rechazado,
2026-01-08,Crédito personal,Acreditado,1500000.0
2026-01-07,,Rechazado,4000000.0
2026-01-06,,Rechazado,2000000.0
2026-01-06,,Rechazado,1000000.0
2026-01-06,,Rechazado,3000000.0
2026-01-02,,Rechazado,2000000.0
2025-12-23,,Rechazado,1800000.0
2025-10-27,Descuento de cheques,Pagado,9420000.0
2025-10-27,Descuento de cheques,Pagado,6360000.0
2025-10-27,Descuento de cheques,Pagado,6980000.0
2025-10-27,Descuento de cheques,Pagado,7540000.0
2025-10-27,,Rechazado,7540000.0
2025-10-27,Descuento de cheques,Pagado,8160000.0
2025-10-27,Descuento de cheques,Pagado,8800000.0
2025-10-27,Descuento de cheques,Pagado,9380000.0
2025-12-02,Descuento de cheques,Acreditado,150000000.0
2025-12-21,Crédito personal,Acreditado,1000000.0
2025-12-19,Crédito personal,Acreditado,3000000.0
2025-12-18,Crédito personal,Pagado,400000.0
2025-12-17,Crédito personal,Acreditado,1500000.0
2025-12-17,,Rechazado,5000000.0
2025-12-17,Crédito personal,Rechazado,5000000.0
2025-12-17,Crédito personal,Acreditado,7000000.0
2025-12-17,Crédito personal,Acreditado,3000000.0
2025-12-17,,Rechazado,200000.0
2025-12-17,Crédito personal,Acreditado,3000000.0
2025-12-16,Crédito personal,Rechazado,3000000.0
2025-12-16,Crédito personal,Acreditado,2000000.0
2025-12-16,Crédito personal,Acreditado,2500000.0
2025-11-12,Crédito personal,Refinanciado,5000000.0
2025-11-10,Crédito personal,Refinanciado,2000000.0
2025-11-07,Crédito personal,Pre-cancelado,6000000.0
2025-11-07,Crédito personal,Acreditado,1000000.0
2025-11-07,Crédito personal,Acreditado,2000000.0
2025-11-07,Crédito personal,Refinanciado,3000000.0
2025-10-17,Crédito personal,Acreditado,2500000.0
2025-10-16,Crédito personal,Acreditado,2200000.0
2025-10-16,Crédito personal,Pre-cancelado,2000000.0
2025-10-16,Crédito personal,Acreditado,2000000.0
2025-10-16,Crédito personal,Acreditado,2200000.0
2025-10-16,Crédito personal,Acreditado,2000000.0
2025-10-16,Crédito personal,Pre-cancelado,4000000.0
2025-10-09,Crédito personal,Pagado,2000000.0
2025-10-09,Crédito personal,Acreditado,2500000.0
2025-10-07,Crédito personal,Acreditado,2500000.0
2025-10-07,Crédito personal,Acreditado,3000000.0
2025-10-06,Crédito personal,Acreditado,2000000.0
2025-10-02,Crédito personal,Acreditado,2000000.0
2025-09-23,Crédito personal,Acreditado,3000000.0
2025-09-23,Crédito personal,Acreditado,1200000.0
2025-09-23,Crédito personal,Acreditado,2300000.0
2025-09-23,Crédito personal,Pagado,1000000.0
2025-09-23,Crédito personal,Acreditado,2000000.0
2025-09-19,Crédito personal,Acreditado,3000000.0
2025-09-19,Crédito personal,Acreditado,3000000.0
2025-09-19,Crédito personal,Pagado,2000000.0
2025-09-19,Crédito personal,Acreditado,2500000.0
2025-09-19,Crédito personal,Acreditado,2500000.0
