Mes,Linea de crédito,Monto
2025-09-01,Credito Empleado Liess,0.0
2025-10-01,Credito Empleado Liess,0.0
2025-11-01,Credito Empleado Liess,0.0
2025-12-01,Credito Empleado Liess,0.0
2026-01-01,Credito Empleado Liess,0.0
2026-02-01,Credito Empleado Liess,0.0
2026-03-01,Credito Empleado Liess,300000.0
2026-04-01,Credito Empleado Liess,0.0
2026-05-01,Credito Empleado Liess,0.0
2026-06-01,Credito Empleado Liess,400000.0
2026-07-01,Credito Empleado Liess,0.0
2026-08-01,Credito Empleado Liess,0.0
2025-09-01,Crédito con garantía prendaria,0.0
2025-10-01,Crédito con garantía prendaria,0.0
2025-11-01,Crédito con garantía prendaria,0.0
2025-12-01,Crédito con garantía prendaria,0.0
2026-01-01,Crédito con garantía prendaria,0.0
2026-02-01,Crédito con garantía prendaria,0.0
2026-03-01,Crédito con garantía prendaria,11000000.0
2026-04-01,Crédito con garantía prendaria,0.0
2026-05-01,Crédito con garantía prendaria,0.0
2026-06-01,Crédito con garantía prendaria,0.0
2026-07-01,Crédito con garantía prendaria,9000000.0
2026-08-01,Crédito con garantía prendaria,0.0
2025-09-01,Crédito personal,22500000.0
2025-10-01,Crédito personal,30900000.0
2025-11-01,Crédito personal,19000000.0
2025-12-01,Crédito personal,173400000.0
2026-01-01,Crédito personal,12800000.0
2026-02-01,Crédito personal,13000000.0
2026-03-01,Crédito personal,20600000.0
2026-04-01,Crédito personal,24265631.0
2026-05-01,Crédito personal,9200000.0
2026-06-01,Crédito personal,25695782.11
2026-07-01,Crédito personal,35219854.94
2026-08-01,Crédito personal,19397173.36
2025-09-01,Descuento de cheques,0.0
2025-10-01,Descuento de cheques,56640000.0
2025-11-01,Descuento de cheques,0.0
2025-12-01,Descuento de cheques,0.0
2026-01-01,Descuento de cheques,0.0
2026-02-01,Descuento de cheques,0.0
2026-03-01,Descuento de cheques,0.0
2026-04-01,Descuento de cheques,84428246.89
2026-05-01,Descuento de cheques,44660000.0
2026-06-01,Descuento de cheques,38650000.0
2026-07-01,Descuento de cheques,0.0
2026-08-01,Descuento de cheques,103140115.0
