Mes,Linea de crédito,Monto
2025-10-01,Credito Empleado Liess,0.0
2025-11-01,Credito Empleado Liess,0.0
2025-12-01,Credito Empleado Liess,0.0
2026-01-01,Credito Empleado Liess,0.0
2026-02-01,Credito Empleado Liess,0.0
2026-03-01,Credito Empleado Liess,0.0
2026-04-01,Credito Empleado Liess,119425.83
2026-05-01,Credito Empleado Liess,119286.43
2026-06-01,Credito Empleado Liess,119147.03
2026-07-01,Credito Empleado Liess,159420.31
2026-08-01,Credito Empleado Liess,161455.39
2026-09-01,Credito Empleado Liess,158862.71
2026-10-01,Credito Empleado Liess,0.0
2026-11-01,Credito Empleado Liess,0.0
2026-12-01,Credito Empleado Liess,0.0
2027-01-01,Credito Empleado Liess,0.0
2027-02-01,Credito Empleado Liess,0.0
2027-03-01,Credito Empleado Liess,0.0
2027-04-01,Credito Empleado Liess,0.0
2027-05-01,Credito Empleado Liess,0.0
2027-06-01,Credito Empleado Liess,0.0
2027-07-01,Credito Empleado Liess,0.0
2027-08-01,Credito Empleado Liess,0.0
2027-09-01,Credito Empleado Liess,0.0
2027-10-01,Credito Empleado Liess,0.0
2027-11-01,Credito Empleado Liess,0.0
2027-12-01,Credito Empleado Liess,0.0
2028-01-01,Credito Empleado Liess,0.0
2028-02-01,Credito Empleado Liess,0.0
2028-03-01,Credito Empleado Liess,0.0
2028-04-01,Credito Empleado Liess,0.0
2028-05-01,Credito Empleado Liess,0.0
2028-06-01,Credito Empleado Liess,0.0
2028-07-01,Credito Empleado Liess,0.0
2028-08-01,Credito Empleado Liess,0.0
2028-09-01,Credito Empleado Liess,0.0
2028-10-01,Credito Empleado Liess,0.0
2028-11-01,Credito Empleado Liess,0.0
2028-12-01,Credito Empleado Liess,0.0
2029-01-01,Credito Empleado Liess,0.0
2029-02-01,Credito Empleado Liess,0.0
2029-03-01,Credito Empleado Liess,0.0
2029-04-01,Credito Empleado Liess,0.0
2029-05-01,Credito Empleado Liess,0.0
2029-06-01,Credito Empleado Liess,0.0
2029-07-01,Credito Empleado Liess,0.0
2025-10-01,Crédito con garantía prendaria,0.0
2025-11-01,Crédito con garantía prendaria,0.0
2025-12-01,Crédito con garantía prendaria,0.0
2026-01-01,Crédito con garantía prendaria,0.0
2026-02-01,Crédito con garantía prendaria,0.0
2026-03-01,Crédito con garantía prendaria,0.0
2026-04-01,Crédito con garantía prendaria,687084.59
2026-05-01,Crédito con garantía prendaria,687084.59
2026-06-01,Crédito con garantía prendaria,687084.59
2026-07-01,Crédito con garantía prendaria,687084.59
2026-08-01,Crédito con garantía prendaria,1249244.7
