Mes,Monto_programado
2025-10-01,2783296.16
2025-11-01,16382108.85
2025-12-01,39956320.349999994
2026-01-01,43019503.46
2026-02-01,44683815.58
2026-03-01,45696789.17
2026-04-01,63632519.739999995
2026-05-01,81311150.53999999
2026-06-01,109301986.28
2026-07-01,112135062.5
2026-08-01,114945257.08
2026-09-01,94093743.01
2026-10-01,49636671.86
2026-11-01,23137759.78
2026-12-01,21969849.84
2027-01-01,17825693.66
2027-02-01,16524751.98
2027-03-01,16152033.2
2027-04-01,13278332.01
2027-05-01,12127173.86
2027-06-01,11505975.93
2027-07-01,11215799.52
2027-08-01,7538734.01
2027-09-01,6114249.31
2027-10-01,5876155.72
2027-11-01,5005791.05
2027-12-01,4017443.16
2028-01-01,3493637.3
2028-02-01,3160306.28
2028-03-01,3160306.29
2028-04-01,3160306.26
2028-05-01,2508457.66
2028-06-01,2508457.69
2028-07-01,1995039.9
2028-08-01,1621414.0899999999
2028-09-01,562160.12
2028-10-01,562160.12
2028-11-01,562160.11
2028-12-01,562160.11
2029-01-01,562160.11
2029-02-01,562160.11
2029-03-01,562160.12
2029-04-01,562160.12
2029-05-01,562160.12
2029-06-01,562160.12
2029-07-01,562160.12
