Cliente_id,Estado,Saldo,Saldo vencido,Creditos activos,Cuotas impagas,Días de atraso (máx.),Tiene cuotas impagas
XDIH01738929790913,Aprobado,3001893.67,2418842.05,1,8,229,Sí
ENPL99000010319658,Aprobado,1734881.36,995743.85,1,3,198,Sí
AJZA42591247711863,Aprobado,7247905.51,623046.88,1,8,170,Sí
CBKB05892969893677,Aprobado,4668608.11,,1,6,170,Sí
MMSW87141118982751,Aprobado,492758.32,,1,1,139,Sí
NQWV04929420184454,Revisión,2733270.82,993916.65,1,4,109,Sí
EOHY89600013580399,Aprobado,8593392.95,,1,4,109,Sí
DFUD93133841337799,Aprobado,1869698.88,378823.88,1,1,17,Sí
ZASO43300264350688,Aprobado,14266164.77,1346798.08,2,2,17,Sí
HDVQ61153593247600,Revisión,3043780.46,,1,0,0,No
OHZV73479128667487,Aprobado,246379.16,,1,0,0,No
PBMK95553330228973,Aprobado,991832.66,,1,0,0,No
HDVQ61153593247600,Borrador,,,0,0,0,No
SJVD92362434094041,Aprobado,2725582.99,,1,0,0,No
KBYW34181542031003,Borrador,,,0,0,0,No
NPBG01435703201598,Borrador,,,0,0,0,No
XOSF08911072026948,Aprobado,,,0,0,0,No
RNRG76318878735472,Aprobado,662558.64,,1,0,0,No
ZWEP18449765338403,Aprobado,496958.32,,1,0,0,No
GCZD70117745156480,Aprobado,369568.76,,1,0,0,No
XVDM21236883543982,Aprobado,2981749.99,,1,0,0,No
XVDM21236883543982,Borrador,,,0,0,0,No
QLWN12508265972736,Aprobado,2609031.24,,1,0,0,No
GLEH97381038264232,Aprobado,,,0,0,0,No
SEVL61096157118305,Aprobado,931796.87,,1,0,0,No
OMVP07293112174980,Borrador,,,0,0,0,No
OMVP07293112174980,Aprobado,,,0,0,0,No
OMVP07293112174980,Borrador,,,0,0,0,No
SHFU47671672256128,Aprobado,1068885.92,,2,0,0,No
KLPF20130591328770,Aprobado,1490875.0,,1,0,0,No
CKCZ71696314961906,Aprobado,495437.34,,1,0,0,No
JDKX60809045620174,Aprobado,,,0,0,0,No
FWHE02519494137922,Aprobado,,,0,0,0,No
ASOU84610829850974,Revisión,,,0,0,0,No
LRJC11327495869154,Borrador,,,0,0,0,No
NXKG26677481313998,Revisión,2174192.7,,1,0,0,No
ITBM78510770106299,Borrador,,,0,0,0,No
XLGK06990855333665,Aprobado,,,0,0,0,No
XLGK06990855333665,Borrador,,,0,0,0,No
CUQK41855821987346,Revisión,1739354.17,,1,0,0,No
JUJD12612509877508,Aprobado,4472624.99,,1,0,0,No
WSOD72745897211801,Borrador,,,0,0,0,No
AVNS98720512138616,Aprobado,,,0,0,0,No
QQJO52583458684878,Aprobado,11135060.78,5360.16,2,0,0,No
OWGL09442458439320,Borrador,,,0,0,0,No
NLKI39696128103531,Aprobado,369568.76,,1,0,0,No
VYKD90677929824477,Aprobado,13666354.11,,1,0,0,No
ARFX80349056836731,Aprobado,307973.95,,1,0,0,No
PWVK50604894727803,Aprobado,,,1,0,0,No
JJUC76299385526574,Aprobado,,,0,0,0,No
JJUC76299385526574,Aprobado,,,0,0,0,No
UXWP33296866246439,Aprobado,1552994.78,,1,0,0,No
AZDT97281921801159,Aprobado,794313.53,,1,0,0,No
JJUC76299385526574,Borrador,,,0,0,0,No
XXKK88763217375618,Aprobado,,,0,0,0,No
JECF21282177104935,Aprobado,6666620.13,,1,0,0,No
SIKT23337693486266,Aprobado,15032989.51,,1,0,0,No
KVYH97707888988674,Aprobado,319738.41,160875.7,1,0,0,No
CUEC36138948081076,Revisión,8625291.19,,1,0,0,No
KVYH97707888988674,Borrador,,,0,0,0,No
SNCR42122526348609,Aprobado,,,0,0,0,No
ABZJ10656201355988,Aprobado,88918626.57,,6,0,0,No
UZKF69275024232652,Aprobado,1242395.82,,1,0,0,No
