Cliente_id,Estado,Saldo,Saldo vencido,Creditos activos,Cuotas impagas,Días de atraso (máx.),Tiene cuotas impagas
YJGO93759092551972,Aprobado,3001893.67,2418842.05,1,8,229,Sí
ABWJ81548620604698,Aprobado,1734881.36,995743.85,1,3,198,Sí
UVIF62170712468544,Aprobado,7247905.51,623046.88,1,8,170,Sí
IZBL86197646125663,Aprobado,4668608.11,,1,6,170,Sí
ZIIE24582748510257,Aprobado,492758.32,,1,1,139,Sí
XLGM93823172522726,Revisión,2733270.82,993916.65,1,4,109,Sí
QPWK06075187318392,Aprobado,8593392.95,,1,4,109,Sí
UUZW94212174533980,Aprobado,1869698.88,378823.88,1,1,17,Sí
BGQV90600822162019,Aprobado,14266164.77,1346798.08,2,2,17,Sí
RIVD83987211216596,Revisión,3043780.46,,1,0,0,No
URBJ27109598649107,Aprobado,246379.16,,1,0,0,No
CSFG81670992918362,Aprobado,991832.66,,1,0,0,No
RIVD83987211216596,Borrador,,,0,0,0,No
YNDC44443274264059,Aprobado,2725582.99,,1,0,0,No
BUPP68854365331470,Borrador,,,0,0,0,No
WDYK94596807951648,Borrador,,,0,0,0,No
GTPJ54497293186058,Aprobado,,,0,0,0,No
ITNL10543941826174,Aprobado,662558.64,,1,0,0,No
ANZT87863934531851,Aprobado,496958.32,,1,0,0,No
JJGV89866205276383,Aprobado,369568.76,,1,0,0,No
WIIA22414295741037,Aprobado,2981749.99,,1,0,0,No
WIIA22414295741037,Borrador,,,0,0,0,No
TRIX46495304165880,Aprobado,2609031.24,,1,0,0,No
FBQD12936910838020,Aprobado,,,0,0,0,No
WZTX64702639589126,Aprobado,931796.87,,1,0,0,No
ZTON66698921997781,Borrador,,,0,0,0,No
ZTON66698921997781,Aprobado,,,0,0,0,No
ZTON66698921997781,Borrador,,,0,0,0,No
ZQVK83338692074439,Aprobado,1068885.92,,2,0,0,No
DNZS56575573424184,Aprobado,1490875.0,,1,0,0,No
KPJA64474101140685,Aprobado,495437.34,,1,0,0,No
JYDZ11882312114454,Aprobado,,,0,0,0,No
WZWO92048690419375,Aprobado,,,0,0,0,No
NUWR21477967616493,Revisión,,,0,0,0,No
